,phase,S_score,G2M_score
SRR4216646,G1,-0.1655970092978769,-0.035171479198650824
SRR4216647,G1,-0.13479573191264982,-0.01873383990891031
SRR4216648,S,0.03347530851586056,-0.3259291656741823
SRR4216649,G1,-0.2556609037980533,-0.12365511112203542
SRR4216650,G1,-0.23732472455297704,-0.3111569764139255
SRR4216651,S,0.06504689166617394,-0.30238761318266794
SRR4216652,G1,-0.1855658533060487,-0.3244886463386938
SRR4216653,G1,-0.007615041559003943,-0.3262632740286243
SRR4216654,G1,-0.00022168877347361615,-0.19176555239828064
SRR4216655,G1,-0.14519820281494755,-0.03702255892340922
SRR4216656,G1,-0.009908155864248203,-0.14455918033498205
SRR4216657,S,0.013975322564041992,-0.015752032186196807
SRR4216658,G1,-0.004672044861507185,-0.1284797370909
SRR4216659,G1,-0.1561979326441203,-0.30135031636227205
SRR4216660,S,0.02418140660556789,-0.053757414447587415
SRR4216661,S,0.08799552436231861,-0.15656334794065108
SRR4216662,G1,-0.16315142260167237,-0.1327501927300243
SRR4216663,G1,-0.1154495594312337,-0.22966876252923785
SRR4216664,G1,-0.30273955216553494,-0.20072455044185888
SRR4216665,G1,-0.08115374557371069,-0.3303118355527809
SRR4216666,G1,-0.008572218295804124,-0.07817542425373603
SRR4216667,G1,-0.02108465739582499,-0.21753138573889097
SRR4216668,G1,-0.10370888909205411,-0.36463626153868256
SRR4216669,G1,-0.18176541490183173,-0.15435154054610623
SRR4216670,G1,-0.011454365919844056,-0.25991434531419744
SRR4216671,G1,-0.050057541933051786,-0.1860100676905001
SRR4216672,G1,-0.15554981750368502,-0.041846834191095805
SRR4216673,S,0.3101911595598268,0.03310781483128622
SRR4216674,S,0.08152538820378474,-0.35152661587189704
SRR4216675,G1,-0.18346028372056356,-0.29120693824623956
SRR4216676,G1,-0.22234589705321517,-0.26135733681900497
SRR4216677,G1,-0.0172384800548675,-0.5113600224228688
SRR4216678,S,0.2254342276207164,-0.17678201827887863
SRR4216679,G1,-0.009987104162970661,-0.07050399626841664
SRR4216680,S,0.2218510344611987,-0.307837214679166
SRR4216681,S,0.040071729655221766,-0.08763248783619271
SRR4216682,S,0.07832455561546703,-0.31137078960659537
SRR4216683,S,0.054984953880042764,-0.2942117747070032
SRR4216684,G1,-0.12363307002147506,-0.24360803320414204
SRR4216685,S,0.023578267355475857,-0.1907234520676886
SRR4216686,G1,-0.27142096621869216,-0.3721690814590811
SRR4216687,G1,-0.22097549352921253,-0.16680620244579702
SRR4216688,S,0.014643032543459444,-0.3042438767092124
SRR4216689,G1,-0.23547725821864807,-0.1864542811456138
SRR4216690,G1,-0.3335392724441688,-0.05478516699022351
SRR4216691,S,0.16490472783419396,-0.22600342478550406
SRR4216692,S,0.1620021260750537,-0.2746570745795688
SRR4216693,G1,-0.31795494490255327,-0.011506444548409878
SRR4216694,S,0.05122160958348099,-0.30621284216905664
SRR4216695,G1,-0.43222016007552,-0.5339937372419294
SRR4216696,G2M,-0.09389093953553185,0.13217798841416584
SRR4216697,S,0.3573772728794057,0.008408722414809722
SRR4216698,G1,-0.19009633086995648,-0.0054439765783868
SRR4216699,S,0.05686679794101912,-0.45105699899338236
SRR4216700,G1,-0.4015031990498296,-0.22157495333307098
SRR4216701,G1,-0.11896869626271167,-0.16824531130498577
SRR4216702,G1,-0.13272477800451088,-0.22200764187072564
SRR4216703,G1,-0.2879904246243369,-0.035966207795655736
SRR4216704,S,0.056468529429862135,0.018736859774834302
SRR4216705,S,0.054411132829611075,-0.2981883235800705
SRR4216706,G1,-0.0882301245011099,-0.3193255142774132
SRR4216707,G1,-0.044494724086529436,-0.14547553045657358
SRR4216708,G1,-0.06494406595061664,-0.009284547371382512
SRR4216709,S,0.48353601043418837,-0.143719769120088
SRR4216710,G1,-0.35153133327098063,-0.33677099669432575
SRR4216711,S,0.12147196327767729,-0.0600702923741363
SRR4216712,S,0.01111038652895402,-0.3412863412122912
SRR4216713,G1,-0.11629723179129803,-0.186854626267136
SRR4216714,G1,-0.15666721366452419,-0.39277742601353693
SRR4216715,G2M,-0.1699973711420717,0.24097241412152304
SRR4216716,G2M,-0.19893673617932706,0.02656397524642351
SRR4216717,G1,-0.2866822599128144,-0.35508346420624537
SRR4216718,S,0.21947259798683572,-0.2621019603551432
SRR4216719,S,0.19945371267940593,-0.43931799600035826
SRR4216720,G1,-0.0506514273072145,-0.10321009851757212
SRR4216721,S,0.05796109202999611,-0.12872008411550218
SRR4216722,G1,-0.082616225323625,-0.012475935761924961
SRR4216723,G1,-0.061492062229918876,-0.3718202795472406
SRR4216724,S,0.28189153540258083,0.01828052740214181
SRR4216725,G2M,-0.005516564508496469,0.12162826572060115
SRR4216726,S,0.0695802642077934,-0.09011259094733637
SRR4216727,G1,-0.23122811751904393,-0.29085441999785444
SRR4216728,S,0.2373897508643139,-0.30759148028170347
SRR4216729,G1,-0.35450010350481087,-0.10262860884005787
SRR4216730,S,0.012505293092976322,-0.17088369681713078
SRR4216731,G1,-0.014810611862811518,-0.18563476098916887
SRR4216732,S,0.30507393621215295,-0.1409521329628105
SRR4216733,G2M,-0.398497474270439,0.056117813657226234
SRR4216734,S,0.001468547225366157,-0.2170536403194342
SRR4216735,S,0.30084399519295535,-0.029205992981627737
SRR4216736,G1,-0.0851521279452927,-0.06184880079178856
SRR4216737,S,0.23045153413328234,-0.04677412382001345
SRR4216738,S,0.23782160304192224,-0.13783249063566472
SRR4216739,G2M,0.07853459282552355,0.08801712483276813
SRR4216740,G1,-0.14318158454777374,-0.23865625120772727
SRR4216741,S,0.3327340130582723,-0.04473889967426525
SRR4216742,G1,-0.1911390244141994,-0.1955965641183106
SRR4216743,S,0.22427854866817076,-0.47111117376606837
SRR4216744,G2M,-0.024716128345828592,0.21991948130006966
SRR4216745,S,0.4225450520559557,0.29717094192882976
SRR4216746,G1,-0.2615278996370539,-0.1451622077225696
SRR4216747,G1,-0.02282080771978534,-0.36673794300967333
SRR4216748,G1,-0.2048179673520263,-0.1783492256750332
SRR4216749,G2M,0.3465590160167751,0.35590255201389454
SRR4216750,S,0.16229002396198833,-0.19216140416096072
SRR4216751,G2M,-0.341647745682674,0.19348515781325037
SRR4216752,S,0.00729776184064912,-0.027293415613440786
SRR4216753,S,0.4641854361322102,0.05592861776934832
SRR4216754,G1,-0.2841104909021513,-0.21172723658492598
SRR4216755,G1,-0.1621017953344911,-0.2130933941194041
SRR4216756,S,0.38014188894277734,-0.05025782575212068
SRR4216757,S,0.21106225888803287,0.04612063080691009
SRR4216758,G1,-0.09421168531327484,-0.36013483684364167
SRR4216759,G1,-0.1522004352352483,-0.36879096359628827
SRR4216760,S,0.3800177043447448,-0.14595228541918837
SRR4216761,G1,-0.08464262897907471,-0.22996126594261246
SRR4216762,S,0.022874066968040285,-0.08048995476314269
SRR4216763,G1,-0.05670240769574786,-0.36242139975606635
SRR4216764,S,0.25771585458595614,-0.19654178571437342
SRR4216765,G2M,-0.06985713722393694,0.01774400501323825
